CATReporterIMID,actionType,type,symbol,price,quantityside,eventTimestamp,firmDesignatedID,firmROEID,orderID,routedOrderID,parentOrderID,priorRoutedOrderID,orderType,parentOrderKeyDate,accountHolderType,orderKeyDate,leavesQty,senderType,negotiatedTradeFlag,initiator,affiliateFlag,cancelQty,custDspIntrFlag,solicitationFlag,routeRejectedFlag,electronicTimestamp,electronicDupFlag,tradingSession,destination,isoInd,receiverIMID,multiLegInd,priorRoutedOrderID,representativeInd,infoBarrierID,manualFlag,deptType,senderIMID,destinationType,dupROIDCond
CFSX,NEW,MENO,COOL,NULL,NULL,20230210T134506,Pending-1,20230210_O_ad86c7cb-1c70-4ce4-8df8-f271410fa6da,2313230000000012,NULL,NULL,NULL,MKT,NULL,V,20230210T134456.527,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T134456.527,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,DOG,NULL,NULL,20230210T135100,Pending-1,20230210_O_aaa3dc8c-5f1a-4c78-bf97-a4a6386be440,2313230000000016,NULL,NULL,NULL,MKT,NULL,V,20230210T135052.647,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T135052.647,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,FAT,NULL,NULL,20230210T142144,Pending-1,20230210_O_c1433426-8ef6-44f1-b7e0-1bd60e960f3f,2313230000000022,NULL,NULL,NULL,MKT,NULL,V,20230210T141853.327,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T141853.327,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,HOG,NULL,NULL,20230210T140434,Pending-1,20230210_O_544354de-81a5-49a8-8b02-03074bc62916,2313230000000020,NULL,NULL,NULL,MKT,NULL,V,20230210T140355.953,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T140355.953,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,LL,NULL,NULL,20230210T155851,Pending-1,20230210_O_b6848cce-a394-48b1-ac97-4c4e0b713eb1,2313230000000028,NULL,NULL,NULL,MKT,NULL,V,20230210T155844.089,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T155844.089,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,MET,NULL,NULL,20230210T142425,Pending-1,20230210_O_878155b8-8ec2-4751-9e03-ea4ce81d1145,2313230000000024,NULL,NULL,NULL,MKT,NULL,V,20230210T142417.072,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T142417.072,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,NXST,NULL,NULL,20230210T094657,Pending-1,20230210_O_fef1476a-6613-4a95-9a45-f81c0095b917,2313230000000006,NULL,NULL,NULL,MKT,NULL,V,20230210T094652.004,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T094652.004,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,XRAY,NULL,NULL,20230210T135541,Pending-1,20230210_O_08e5585a-1715-4f25-b6f3-1ecfc7d506e2,2313230000000018,NULL,NULL,NULL,MKT,NULL,V,20230210T135537.523,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T135537.523,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,Z,NULL,NULL,20230210T094235,Pending-1,20230210_O_e4cf62eb-1f8e-4552-99e1-679a4a806404,2313230000000004,NULL,NULL,NULL,MKT,NULL,V,20230210T094230.287,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T094230.287,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MEOR,B,45.24,NULL,20230210T134016.005,NULL,20230210_O_cfc97d35-5730-44e4-b0b1-cc8e6450f495,2315230000000007,2315230000000007.1,NULL,NULL,LMT,NULL,NULL,20230210T134016.483,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,BNY,NULL,NULL,20230210T133656.883,NULL,20230210_O_2373205e-f0da-44f5-8d09-74ea4711f98d,2315230000000005,2315230000000005.1,NULL,NULL,MKT,NULL,NULL,20230210T133656.807,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,BNY,NULL,NULL,20230210T133947.827,NULL,20230210_O_d4e613a0-6f85-492f-9e4d-1e775c7a5aa1,2315230000000006,2315230000000006.1,NULL,NULL,MKT,NULL,NULL,20230210T133947.813,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135201.417,NULL,20230210_O_d49831a1-4969-49f4-80d3-de014384ac53,2315230000000009,2315230000000009.1,NULL,NULL,MKT,NULL,NULL,20230210T135201.407,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135211.367,NULL,20230210_O_95292145-26d4-494e-b8bb-bab4453c59a9,2315230000000010,2315230000000010.1,NULL,NULL,MKT,NULL,NULL,20230210T135211.357,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135220.503,NULL,20230210_O_acbb62a3-ddd8-4f7d-985c-d302d922acc0,2315230000000011,2315230000000011.1,NULL,NULL,MKT,NULL,NULL,20230210T135220.487,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135230.046,NULL,20230210_O_4f7e6c40-9ab8-476b-9183-7873d15c1d35,2315230000000012,2315230000000012.1,NULL,NULL,MKT,NULL,NULL,20230210T135230.453,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
